global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far,episode_success_rate_so_far
5000,1,5000,5000,0.9970453671641791,3171.5920493602753,0.0003968246974865906,0.448
10000,1,10000,10000,0.9940901432835821,6315.725160121918,0.0005620147604306112,0.4464
15000,1,15000,15000,0.991134919402985,9335.544782876968,0.0006392212265200214,0.44093333333333334
20000,1,20000,20000,0.988179695522388,12697.047731041908,0.0007918630631327687,0.4487
25000,1,25000,25000,0.985224471641791,15355.615002632141,0.0008475716750806896,0.43428
30000,1,30000,30000,0.9822692477611941,17754.66728723049,0.0008920021789900299,0.4188
35000,1,35000,35000,0.9793140238805971,20171.146555662155,0.0009318444854800223,0.40768571428571426
40000,1,40000,40000,0.9763588,22500.116010427475,0.000969005716720494,0.397975
45000,1,45000,45000,0.973403576119403,24882.16469156742,0.0010014371033192017,0.3910222222222222
50000,1,50000,50000,0.970448352238806,27306.39941895008,0.0010359464175571339,0.3862
55000,1,55000,55000,0.967493128358209,29712.309221863747,0.001067976588025869,0.3820181818181818
60000,1,60000,60000,0.9645379044776119,32192.49759745598,0.001101746098948691,0.37926666666666664
65000,1,65000,65000,0.9615826805970149,34657.62954044342,0.0011327293996190957,0.37693846153846156
70000,1,70000,70000,0.9586274567164179,37188.49498271942,0.001158400725480377,0.3755142857142857
75000,1,75000,75000,0.9556722328358209,39635.55125141144,0.0011843646795444268,0.37364
80000,1,80000,80000,0.9527170089552239,42001.723943948746,0.0012068407180262511,0.3711625
85000,1,85000,85000,0.9497617850746268,44483.873041749,0.0012246697202381363,0.3700352941176471
90000,1,90000,90000,0.9468065611940298,46997.572696208954,0.0012421783779523038,0.3690222222222222
95000,1,95000,95000,0.9438513373134328,49598.998573064804,0.0012605829436400917,0.3689368421052632
100000,1,100000,100000,0.9408961134328359,55143.262476444244,0.0012829276614527044,0.38989
105000,1,105000,105000,0.9379408895522388,58001.44298124313,0.001306024351848672,0.39052380952380955
110000,1,110000,110000,0.9349856656716418,60455.767139315605,0.0013240013877031742,0.3886
115000,1,115000,115000,0.9320304417910448,62986.363456487656,0.0013430044761561515,0.3871391304347826
120000,1,120000,120000,0.9290752179104478,65617.57227885723,0.0013609358955442683,0.38615
125000,1,125000,125000,0.9261199940298508,68169.46862375736,0.0013761962669930653,0.385032
130000,1,130000,130000,0.9231647701492537,70770.96253144741,0.0013927908848600614,0.38422307692307694
135000,1,135000,135000,0.9202095462686567,73323.67949008942,0.0014099826977231444,0.3831851851851852
140000,1,140000,140000,0.9172543223880597,77571.32066118717,0.0014327109825465804,0.3907285714285714
145000,1,145000,145000,0.9142990985074627,81548.80968499184,0.0014730823012258545,0.39659310344827586
150000,1,150000,150000,0.9113438746268657,85057.82802188396,0.0015071930394796073,0.3996866666666667
155000,1,155000,155000,0.9083886507462686,87745.6688092947,0.0015404624862214288,0.3988322580645161
160000,1,160000,160000,0.9054334268656716,90433.64561748505,0.0015681484188485228,0.39800625
165000,1,165000,165000,0.9024782029850746,93148.31982386112,0.0015933435277693205,0.3974787878787879
170000,1,170000,170000,0.8995229791044776,95737.95578026772,0.0016165058189661495,0.3962588235294118
175000,1,175000,175000,0.8965677552238807,98351.2035304308,0.0016556323433987562,0.39522857142857143
180000,1,180000,180000,0.8936125313432836,101029.39717447758,0.0016925802645872561,0.3945444444444444
185000,1,185000,185000,0.8906573074626866,103593.19175457954,0.0017159788851759152,0.3934054054054054
190000,1,190000,190000,0.8877020835820896,106234.80054676533,0.0017337724467583987,0.3925736842105263
195000,1,195000,195000,0.8847468597014926,108875.65507388115,0.001749003391663726,0.39184102564102563
200000,1,200000,200000,0.8817916358208955,111683.4512412548,0.0017631733964809245,0.39169
205000,1,205000,205000,0.8788364119402985,114356.01765275002,0.001779557148643227,0.39107317073170733
210000,1,210000,210000,0.8758811880597015,116990.76534891129,0.0017960568654224126,0.3903333333333333
