global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far
5000,1,5000,5000,0.9970453671641791,3407.907545566559,119.12151613235474
10000,1,10000,10000,0.9940901432835821,6732.906253695488,62.17443155525103
15000,1,15000,15000,0.991134919402985,9979.383356809616,41.61828755270392
20000,1,20000,20000,0.988179695522388,13617.41750061512,33.435551644999904
25000,1,25000,25000,0.985224471641791,16582.64441716671,27.443679562636913
30000,1,30000,30000,0.9822692477611941,19201.604782938957,23.154016302518546
35000,1,35000,35000,0.9793140238805971,21822.718289017677,20.00709778968628
40000,1,40000,40000,0.9763588,24525.286098837852,17.615076809991336
45000,1,45000,45000,0.973403576119403,27130.721625685692,15.732053187635913
50000,1,50000,50000,0.970448352238806,29808.937581300735,14.217763885812815
55000,1,55000,55000,0.967493128358209,32571.60044491291,12.965647123700787
60000,1,60000,60000,0.9645379044776119,35254.073508143425,11.913101476719541
65000,1,65000,65000,0.9615826805970149,37925.96841132641,11.018427193769304
70000,1,70000,70000,0.9586274567164179,40522.581276893616,10.249517974495609
75000,1,75000,75000,0.9556722328358209,43109.786345005035,9.584922220842131
80000,1,80000,80000,0.9527170089552239,45643.4120606184,8.998797291235192
85000,1,85000,85000,0.9497617850746268,48277.60846745968,8.48097660121932
90000,1,90000,90000,0.9468065611940298,50834.96934092045,8.01947434658062
95000,1,95000,95000,0.9438513373134328,53502.71427977085,7.604645673655995
100000,1,100000,100000,0.9408961134328359,59565.73961031437,7.231364993996642
105000,1,105000,105000,0.9379408895522388,62741.29327583313,6.892936766681873
110000,1,110000,110000,0.9349856656716418,65424.746530890465,6.584657895746866
115000,1,115000,115000,0.9320304417910448,68018.07333123684,6.302446049045895
120000,1,120000,120000,0.9290752179104478,70711.47458314896,6.043602118486187
125000,1,125000,125000,0.9261199940298508,73401.28497159481,5.8043862890484945
130000,1,130000,130000,0.9231647701492537,76093.53979575634,5.583818725424532
135000,1,135000,135000,0.9202095462686567,78860.04404175282,5.3794527097195965
140000,1,140000,140000,0.9172543223880597,83525.62330400944,5.189148035163685
145000,1,145000,145000,0.9142990985074627,87807.15926623344,5.012000195448001
150000,1,150000,150000,0.9113438746268657,91676.0247066021,4.846290177151343
155000,1,155000,155000,0.9083886507462686,94834.35837745667,4.691039589151126
