global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far
5000,1,5000,5000,0.9970453671641791,3168.7536388635635,45.06678039283752
10000,1,10000,10000,0.9940901432835821,6310.184166908264,23.88702878281623
15000,1,15000,15000,0.991134919402985,9324.557539463043,15.998125121429563
20000,1,20000,20000,0.988179695522388,12657.024204134941,12.162894787352531
25000,1,25000,25000,0.985224471641791,15297.961649537086,9.798061527396813
30000,1,30000,30000,0.9822692477611941,17668.847162246704,8.201206283864565
35000,1,35000,35000,0.9793140238805971,20055.707780718803,7.052322330168635
40000,1,40000,40000,0.9763588,22349.77301120758,6.1850815424483505
45000,1,45000,45000,0.973403576119403,24701.421993255615,5.508603947650807
50000,1,50000,50000,0.970448352238806,27093.439906477928,4.967020297435112
55000,1,55000,55000,0.967493128358209,29443.131382226944,4.522023392893805
60000,1,60000,60000,0.9645379044776119,31881.484998464584,4.149628657643136
65000,1,65000,65000,0.9615826805970149,34272.885112285614,3.8342464582388254
70000,1,70000,70000,0.9586274567164179,36751.42160093784,3.5630481172413764
75000,1,75000,75000,0.9556722328358209,39141.403901815414,3.327951430885374
80000,1,80000,80000,0.9527170089552239,41479.712565779686,3.1220697460752156
85000,1,85000,85000,0.9497617850746268,43931.503323197365,2.9403290483687043
90000,1,90000,90000,0.9468065611940298,46369.485966563225,2.7785100284350537
95000,1,95000,95000,0.9438513373134328,48901.78755223751,2.633590700471781
100000,1,100000,100000,0.9408961134328359,54408.84196126461,2.503080685269231
105000,1,105000,105000,0.9379408895522388,57234.50780558586,2.385065794350959
110000,1,110000,110000,0.9349856656716418,59643.102772951126,2.277446019077491
115000,1,115000,115000,0.9320304417910448,62060.245626330376,2.1795997985935838
120000,1,120000,120000,0.9290752179104478,64598.049031972885,2.0900305865582474
125000,1,125000,125000,0.9261199940298508,67055.19513320923,2.007406608843611
130000,1,130000,130000,0.9231647701492537,69572.0545977354,1.9308390088414562
135000,1,135000,135000,0.9202095462686567,72033.91305696964,1.859787387350853
140000,1,140000,140000,0.9172543223880597,76208.87692272663,1.7937586428492442
145000,1,145000,145000,0.9142990985074627,80137.91148233414,1.7326124267411096
150000,1,150000,150000,0.9113438746268657,83621.18396735191,1.6752998908032037
155000,1,155000,155000,0.9083886507462686,86277.80705869198,1.6215889603462799
160000,1,160000,160000,0.9054334268656716,88923.62086224556,1.571274547458237
165000,1,165000,165000,0.9024782029850746,91623.88741505146,1.5238907955928476
170000,1,170000,170000,0.8995229791044776,94196.2584373951,1.4793024996421458
175000,1,175000,175000,0.8965677552238807,96763.51424121857,1.4372304527280497
180000,1,180000,180000,0.8936125313432836,99395.12629294395,1.3975098447141832
185000,1,185000,185000,0.8906573074626866,101938.10678315163,1.3599266655790339
190000,1,190000,190000,0.8877020835820896,104565.14856159687,1.324349097938797
195000,1,195000,195000,0.8847468597014926,107162.53946518898,1.2905564812528578
200000,1,200000,200000,0.8817916358208955,109932.15505933762,1.2584519315802543
205000,1,205000,205000,0.8788364119402985,112563.23237621784,1.227905397223062
210000,1,210000,210000,0.8758811880597015,115129.70167422295,1.1988124103063158
215000,1,215000,215000,0.8729259641791045,117750.89315915108,1.1710656798207633
220000,1,220000,220000,0.8699707402985075,120374.18909013271,1.1445896271459441
225000,1,225000,225000,0.8670155164179105,123098.87894070148,1.1192750419770243
230000,1,230000,230000,0.8640602925373134,125857.24379718304,1.0950518355814238
235000,1,235000,235000,0.8611050686567164,128600.18914413452,1.0718401730061802
240000,1,240000,240000,0.8581498447761194,131254.43027734756,1.0495937393764572
245000,1,245000,245000,0.8551946208955223,133977.10410511494,1.0282565946331188
250000,1,250000,250000,0.8522393970149253,136709.33575034142,1.0077661587184117
255000,1,255000,255000,0.8492841731343284,139376.11431336403,0.9880894170241572
260000,1,260000,260000,0.8463289492537314,142120.7032982111,0.9691491807002093
265000,1,265000,265000,0.8433737253731344,145066.85511994362,0.9509257739930692
270000,1,270000,270000,0.8404185014925374,147826.43661201,0.9333645602530959
275000,1,275000,275000,0.8374632776119403,150559.1509977579,0.9164395527130882
280000,1,280000,280000,0.8345080537313433,153294.7524895668,0.9001174918195016
285000,1,285000,285000,0.8315528298507463,156153.1764008999,0.8843714318969936
290000,1,290000,290000,0.8285976059701492,158988.50722301006,0.869171899308083
295000,1,295000,295000,0.8256423820895522,161886.17224740982,0.8544855387048617
300000,1,300000,300000,0.8226871582089552,164681.44504737854,0.8402859563563659
305000,1,305000,305000,0.8197319343283582,167490.04309630394,0.8265518997830936
310000,1,310000,310000,0.8167767104477612,170304.78926801682,0.8132592648528809
315000,1,315000,315000,0.8138214865671642,173083.53228986263,0.80038807890871
320000,1,320000,320000,0.8108662626865671,175870.8991701603,0.7879203432010711
325000,1,325000,325000,0.8079110388059701,178679.81710529327,0.7758359151129876
